epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,5907.48,0.6933,0.33493,0.87417,0.94858,0.88741,0.93281,0.66421,0.90157,0.41033,1.00102,1.34282e-05,1.34282e-05,1.34282e-05
90,5971.43,0.69757,0.33966,0.87769,0.9504,0.88726,0.93304,0.66202,0.90978,0.41085,1.00304,1.17792e-05,1.17792e-05,1.17792e-05
91,6035.64,0.68892,0.3341,0.87471,0.95072,0.8879,0.93368,0.66455,0.90186,0.4079,1.00117,1.02681e-05,1.02681e-05,1.02681e-05
92,6099.97,0.6826,0.33051,0.87119,0.94617,0.89304,0.93426,0.66368,0.90376,0.41057,1.00116,8.89639e-06,8.89639e-06,8.89639e-06
93,6163.67,0.68326,0.33149,0.87102,0.95429,0.88668,0.93441,0.66526,0.89865,0.40986,1.00041,7.6654e-06,7.6654e-06,7.6654e-06
94,6228.12,0.688,0.33284,0.87387,0.95395,0.88448,0.93342,0.66288,0.90459,0.41169,1.00236,6.57636e-06,6.57636e-06,6.57636e-06
95,6293.19,0.68744,0.33169,0.87252,0.95294,0.88571,0.93374,0.66469,0.90076,0.40995,1.00132,5.63034e-06,5.63034e-06,5.63034e-06
96,6356.7,0.68362,0.32977,0.87309,0.95176,0.88788,0.93386,0.66565,0.89781,0.40802,1.00068,4.82828e-06,4.82828e-06,4.82828e-06
97,6420.66,0.68625,0.32996,0.87375,0.94831,0.89066,0.93376,0.66653,0.89453,0.40757,1.00036,4.17097e-06,4.17097e-06,4.17097e-06
98,6485.84,0.68555,0.33328,0.87401,0.94967,0.88874,0.93368,0.66525,0.89803,0.40912,1.00087,3.65905e-06,3.65905e-06,3.65905e-06
99,6548.92,0.67489,0.32972,0.87001,0.94745,0.89111,0.93425,0.66513,0.89804,0.40721,1.00115,3.29303e-06,3.29303e-06,3.29303e-06
100,6612.12,0.6866,0.33314,0.87267,0.94707,0.88988,0.93404,0.66555,0.89671,0.40747,1.00103,3.07328e-06,3.07328e-06,3.07328e-06
